Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-06-15),Price Override,Watchlist,Date Added,Notes
Main,Pokemon,Destined Rivals,Destined Rivals Elite Trainer Box,,,Normal,Ungraded,Near Mint,0,1,205.81,0,false,2026-03-12,
Main,Pokemon,Destined Rivals,Destined Rivals Single Pack Blister [Eevee],,,Normal,Ungraded,Near Mint,0,1,14.67,0,false,2025-10-01,
Main,Pokemon,Destined Rivals,Destined Rivals Single Pack Blister [Zarude],,,Normal,Ungraded,Near Mint,0,1,11.31,0,false,2025-10-01,
Main,Pokemon,Destined Rivals,Destined Rivals Sleeved Booster Pack,,,Normal,Ungraded,Near Mint,4.2500,20,12.22,0,false,2025-07-16,
Main,Pokemon,Destined Rivals,Electivire ex,212/182,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,47,0,false,2025-09-04,
Main,Pokemon,Destined Rivals,Electrike,196/182,Illustration Rare,Holofoil,PSA 9.0 MINT,Near Mint,0,1,11.43,0,false,2025-09-04,
Main,Pokemon,Destined Rivals,Ethan's Adventure,236/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,5.0000,1,48.97,0,false,2025-06-26,
Main,Pokemon,Destined Rivals,Hydrapple,188/182,Illustration Rare,Holofoil,PSA 9.0 MINT,Near Mint,0,1,16.41,0,false,2025-09-04,
Main,Pokemon,Destined Rivals,Judge,222/182,Ultra Rare,Holofoil,Ungraded,Near Mint,0,2,3.06,0,false,2025-06-26,
Main,Pokemon,Destined Rivals,Kangaskhan,204/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,13.27,0,false,2025-06-26,
Main,Pokemon,Destined Rivals,Misty's Lapras,194/182,Illustration Rare,Holofoil,Ungraded,Near Mint,5.0000,1,44.28,0,false,2025-07-03,
Main,Pokemon,Destined Rivals,Shaymin,185/182,Illustration Rare,Holofoil,Ungraded,Near Mint,5.0000,1,16.49,0,false,2025-06-26,
Main,Pokemon,Destined Rivals,Team Rocket's Nidoking ex,216/182,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,4.78,0,false,2025-06-28,
Main,Pokemon,Destined Rivals,Team Rocket's Orbeetle,198/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,4.45,0,false,2025-07-10,
Main,Pokemon,Destined Rivals,Team Rocket's Raticate,202/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,7.36,0,false,2025-06-28,
Main,Pokemon,Destined Rivals,Team Rocket's Weezing,199/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,10.71,0,false,2025-07-02,
Main,Pokemon,Evolutions,Charizard,11/108,Holo Rare,Holofoil,PSA 9.0 MINT,Near Mint,0,1,210.1,0,false,2026-05-23,
Main,Pokemon,Fusion Strike,Hoopa V Box,,,Normal,Ungraded,Near Mint,0,2,84.11,0,false,2025-09-30,
Main,Pokemon,Glory of Team Rocket,Glory of Team Rocket Booster Pack,,,Normal,Ungraded,Near Mint,0,1,5.25,0,false,2025-08-22,
Main,Pokemon,Hidden Fates,Moltres & Zapdos & Articuno GX (Full Art),66/68,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,186.72,0,false,2026-05-22,
Main,Pokemon,Journey Together,Articuno,161/159,Illustration Rare,Holofoil,Ungraded,Near Mint,5.0000,1,27.98,0,false,2025-06-28,
Main,Pokemon,Journey Together,Articuno,161/159,Illustration Rare,Holofoil,PSA 8.0 NM - MT,Near Mint,0,1,28.98,0,false,2025-09-04,
Main,Pokemon,Journey Together,Hop's Wooloo,170/159,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,4.72,0,false,2025-06-26,
Main,Pokemon,Journey Together,Iono's Bellibolt ex,172/159,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,2.33,0,false,2025-07-11,
Main,Pokemon,Journey Together,Journey Together Booster Bundle,,,Normal,Ungraded,Near Mint,25.3750,8,46.6,0,false,2025-06-26,
Main,Pokemon,Journey Together,Journey Together Booster Pack,,,Normal,Ungraded,Near Mint,3.5185,27,6.77,0,false,2025-07-11,
Main,Pokemon,Journey Together,Journey Together Elite Trainer Box,,,Normal,Ungraded,Near Mint,0,1,129.76,0,false,2026-03-16,
Main,Pokemon,Journey Together,Journey Together Sleeved Booster Pack,,,Normal,Ungraded,Near Mint,1.8750,16,8.29,0,false,2025-08-13,
Main,Pokemon,Journey Together,Journey Together Sleeved Booster Pack Art Bundle [Set of 4],,,Normal,Ungraded,Near Mint,20.0000,1,28.13,0,false,2025-09-12,
Main,Pokemon,Journey Together,Lillie's Ribombee,164/159,Illustration Rare,Holofoil,Ungraded,Near Mint,0,2,6.2,0,false,2025-06-26,
Main,Pokemon,Journey Together,Maractus,160/159,Illustration Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,35,0,false,2025-09-04,
Main,Pokemon,Journey Together,Volcanion ex,182/159,Special Illustration Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,104.46,0,false,2026-05-22,
Main,Pokemon,Lost Origin,Colress's Experiment (Secret),205/196,Secret Rare,Holofoil,Ungraded,Near Mint,0,1,3.42,0,false,2025-06-26,
Main,Pokemon,Lost Origin Trainer Gallery,Pikachu,TG05/TG30,Ultra Rare,Holofoil,PSA 9.0 MINT,Near Mint,0,1,102.64,0,false,2026-05-22,
Main,Pokemon,Mega Evolution,Mega Evolution 3 Pack Blister [Golduck],,,Normal,Ungraded,Near Mint,0,2,31.67,0,false,2025-09-26,
Main,Pokemon,Mega Evolution,Mega Evolution 3 Pack Blister [Psyduck],,,Normal,Ungraded,Near Mint,0,1,39.62,0,false,2025-09-26,
Main,Pokemon,Mega Evolution,Mega Evolution Booster Bundle,,,Normal,Ungraded,Near Mint,0,4,58.77,0,false,2025-10-01,
Main,Pokemon,Mega Evolution,Mega Evolution Booster Pack,,,Normal,Ungraded,Near Mint,0,5,7.9,0,false,2026-01-05,
Main,Pokemon,Mega Evolution,Mega Evolution Elite Trainer Box [Mega Gardevoir],,,Normal,Ungraded,Near Mint,0,4,108.61,0,false,2025-09-26,
Main,Pokemon,Mega Evolution,Mega Evolution Elite Trainer Box [Mega Lucario],,,Normal,Ungraded,Near Mint,0,2,117.86,0,false,2025-09-26,
Main,Pokemon,Mega Evolution,Mega Evolution Enhanced Booster Box,,,Normal,Ungraded,Near Mint,0,1,304.91,0,false,2026-01-11,
Main,Pokemon,Mega Evolution,Mega Evolution Sleeved Booster Pack,,,Normal,Ungraded,Near Mint,0,6,9.54,0,false,2025-09-26,
Main,Pokemon,Mega Evolution,Mega Evolution Sleeved Booster Pack Art Bundle [Set of 4],,,Normal,Ungraded,Near Mint,0,3,43.24,0,false,2025-09-29,
Main,Pokemon,Mega Evolution,Mega Heroes Mini Tin [Mega Kangaskhan],,,Normal,Ungraded,Near Mint,0,1,17.85,0,false,2025-09-26,
Main,Pokemon,Mega Evolution,Mega Heroes Mini Tin [Mega Lucario],,,Normal,Ungraded,Near Mint,0,2,20.83,0,false,2025-09-26,
Main,Pokemon,Mega Evolution,Mega Heroes Mini Tin [Mega Venusaur],,,Normal,Ungraded,Near Mint,0,1,19.48,0,false,2025-10-01,
Main,Pokemon,Mega Evolution,Mega Venusaur ex,003/132,Double Rare,Holofoil,CGC 10.0 Gem Mint,Near Mint,0,1,24.99,0,false,2026-06-14,
Main,Pokemon,Miscellaneous Cards & Products,Back-to-School 2024 Collector Chest,,,Normal,Ungraded,Near Mint,33.0000,2,43,0,false,2025-07-23,
Main,Pokemon,Miscellaneous Cards & Products,Blooming Waters Premium Collection,,,Normal,Ungraded,Near Mint,80.0000,1,319.3,0,false,2025-06-26,
Main,Pokemon,Miscellaneous Cards & Products,Charizard ex Special Collection,,,Normal,Ungraded,Near Mint,35.0000,2,66.65,0,false,2025-06-27,
Main,Pokemon,Miscellaneous Cards & Products,Costco Pokemon Prismatic Evolutions 2-Pack Trainer Box and Booster Bundle,,,Normal,Ungraded,Near Mint,60.0000,3,292.47,0,false,2025-08-24,
Main,Pokemon,Miscellaneous Cards & Products,Costco Prismatic Evolutions 8-Pack Mini Tins,,,Normal,Ungraded,Near Mint,60.0000,2,278.68,0,false,2025-09-16,
Main,Pokemon,Miscellaneous Cards & Products,Cynthia's Garchomp ex Premium Collection,,,Normal,Ungraded,Near Mint,39.0000,1,64.3,0,false,2025-06-26,
Main,Pokemon,Miscellaneous Cards & Products,Deluxe Battle Deck [Ninetales ex],,,Normal,Ungraded,Near Mint,20.0000,1,25.57,0,false,2025-06-27,
Main,Pokemon,Miscellaneous Cards & Products,ex Battle Deck [Melmetal ex],,,Normal,Ungraded,Near Mint,0,1,14.56,0,false,2025-07-14,
Main,Pokemon,Miscellaneous Cards & Products,ex Battle Deck [Victini ex],,,Normal,Ungraded,Near Mint,12.0000,1,15.32,0,false,2025-07-14,
Main,Pokemon,Miscellaneous Cards & Products,Galar Pal Mini Tin [Galarian Ponyta],,,Normal,Ungraded,Near Mint,13.0000,1,32.41,0,false,2025-07-05,
Main,Pokemon,Miscellaneous Cards & Products,Galar Pal Mini Tin [Sobble & Rookidee],,,Normal,Ungraded,Near Mint,13.0000,1,28.38,0,false,2025-07-05,
Main,Pokemon,Miscellaneous Cards & Products,Galar Pal Mini Tin [Yamper & Morpeko],,,Normal,Ungraded,Near Mint,13.0000,2,35.06,0,false,2025-07-05,
Main,Pokemon,Miscellaneous Cards & Products,Holiday Calendar 2025,,,Normal,Ungraded,Near Mint,60.0000,2,64.42,0,false,2025-08-23,
Main,Pokemon,Miscellaneous Cards & Products,Lumiose City Mini Tin [Salamence & Litleo],,,Normal,Ungraded,Near Mint,0,1,21.61,0,false,2026-06-14,
Main,Pokemon,Miscellaneous Cards & Products,Mega Charizard X ex Ultra Premium Collection,,,Normal,Ungraded,Near Mint,0,1,227.69,0,false,2026-01-04,
Main,Pokemon,Miscellaneous Cards & Products,Mega Latias ex Box,,,Normal,Ungraded,Near Mint,0,2,38.8,0,false,2025-10-10,
Main,Pokemon,Miscellaneous Cards & Products,Mega Lucario ex Premium Figure Collection,,,Normal,Ungraded,Near Mint,0,1,53.42,0,false,2026-01-04,
Main,Pokemon,Miscellaneous Cards & Products,Paldea Legends Tin [Koraidon ex] (International Version),,,Normal,Ungraded,Near Mint,0,1,41.63,0,false,2025-06-26,
Main,Pokemon,Miscellaneous Cards & Products,Paldea Legends Tin [Miraidon ex] (International Version),,,Normal,Ungraded,Near Mint,0,1,42.94,0,false,2025-06-26,
Main,Pokemon,Miscellaneous Cards & Products,Pokemon - Poke Ball Tin - Great Ball [2025 Q4],,,Normal,Ungraded,Near Mint,0,1,24.14,0,false,2026-03-22,
Main,Pokemon,Miscellaneous Cards & Products,Pokemon - Poke Ball Tin - Poke Ball [2025 Q4],,,Normal,Ungraded,Near Mint,0,1,24.17,0,false,2026-03-22,
Main,Pokemon,Miscellaneous Cards & Products,Pokemon - Poke Ball Tin - Premier Ball [2025 Q4],,,Normal,Ungraded,Near Mint,0,2,24.45,0,false,2025-07-30,
Main,Pokemon,Miscellaneous Cards & Products,Pokemon - Poke Ball Tin - Repeat Ball [2025 Q4],,,Normal,Ungraded,Near Mint,0,2,23.58,0,false,2026-03-22,
Main,Pokemon,Miscellaneous Cards & Products,Pokemon - Poke Ball Tin - Ultra Ball,,,Normal,Ungraded,Near Mint,0,2,24.03,0,false,2025-07-30,
Main,Pokemon,Miscellaneous Cards & Products,Pokemon TCG: Trainer's Toolkit (2023),,,Normal,Ungraded,Near Mint,30.0000,1,45.7,0,false,2025-07-21,
Main,Pokemon,Miscellaneous Cards & Products,Rival Battle Deck [Marnie],,,Normal,Ungraded,Near Mint,0,1,53.32,0,false,2025-06-27,
Main,Pokemon,Miscellaneous Cards & Products,Rival Battle Deck [Steven],,,Normal,Ungraded,Near Mint,15.0000,1,36.74,0,false,2025-06-27,
Main,Pokemon,Miscellaneous Cards & Products,Summer 2023 Collector's Chest Tin,,,Normal,Ungraded,Near Mint,35.0000,2,79.37,0,false,2025-06-26,
Main,Pokemon,Miscellaneous Cards & Products,Team Rocket's Mewtwo ex Box,,,Normal,Ungraded,Near Mint,25.0000,4,51.86,0,false,2025-06-27,
Main,Pokemon,Miscellaneous Cards & Products,Team Rocket’s Moltres ex Ultra-Premium Collection,,,Normal,Ungraded,Near Mint,0,1,331.09,0,false,2026-01-04,
Main,Pokemon,Miscellaneous Cards & Products,Team Rocket Tin [Team Rocket's Nidoking ex],,,Normal,Ungraded,Near Mint,0,1,48.05,0,false,2025-09-17,
Main,Pokemon,Miscellaneous Cards & Products,Terapagos ex Ultra-Premium Collection,,,Normal,Ungraded,Near Mint,120.0000,1,254.05,0,false,2025-07-13,
Main,Pokemon,Miscellaneous Cards & Products,Venusaur ex & Blastoise ex Premium Collection,,,Normal,Ungraded,Near Mint,70.0000,8,88.15,0,false,2025-08-10,
Main,Pokemon,Neo Genesis,Meganium (11),11,Holo Rare,1st Edition Holofoil,PSA 8.0 NM - MT,Near Mint,0,1,319.22,0,false,2026-05-22,
Main,Pokemon,Obsidian Flames,Charizard ex,125/197,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,5.82,0,false,2025-06-26,
Main,Pokemon,Obsidian Flames,Pidgey,207/197,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,21.71,0,false,2025-07-03,
Main,Pokemon,Old Maid Super High Tension,Pikachu (JP),,Common,Normal,PSA 10.0 GEM - MT,Near Mint,0,1,44.78,0,false,2025-09-11,
Main,Pokemon,Paldea Evolved,Bellibolt ex,237/193,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,4.07,0,false,2025-06-26,
Main,Pokemon,Paldea Evolved,Boss's Orders,265/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,20.06,0,false,2025-06-26,
Main,Pokemon,Paldea Evolved,Dendra,250/193,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,2.74,0,false,2025-06-26,
Main,Pokemon,Paldea Evolved,Floragato,197/193,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,22.12,0,false,2025-06-26,
Main,Pokemon,Paldea Evolved,Paldea Evolved Booster Pack,,,Normal,Ungraded,Near Mint,5.0000,2,14.83,0,false,2025-07-27,
Main,Pokemon,Paldea Evolved,Paldea Evolved Elite Trainer Box,,,Normal,Ungraded,Near Mint,60.0000,1,210.8,0,false,2025-07-21,
Main,Pokemon,Paldea Evolved,Paldea Evolved Sleeved Booster Pack,,,Normal,Ungraded,Near Mint,5.0000,16,14.31,0,false,2025-08-14,
Main,Pokemon,Paldea Evolved,Paldean Wooper,221/193,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,14.61,0,false,2025-06-26,
Main,Pokemon,Paldea Evolved,Slowking ex,238/193,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,7.42,0,false,2025-06-26,
Main,Pokemon,Paldea Evolved,Sprigatito,196/193,Illustration Rare,Holofoil,Ungraded,Near Mint,5.0000,1,59.8,0,false,2025-06-26,
Main,Pokemon,Paldea Evolved,Tinkaton ex,262/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,5.0000,1,61.67,0,false,2025-06-26,
Main,Pokemon,Paldean Fates,Paldean Fates Booster Bundle,,,Normal,Ungraded,Near Mint,40.0000,1,162.42,0,false,2025-07-30,
Main,Pokemon,Paldean Fates,Pidgeot ex,221/091,Shiny Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,2.53,0,false,2025-06-28,
Main,Pokemon,Paldean Fates,Toxtricity,141/091,Shiny Rare,Holofoil,CGC 9.0 Mint,Near Mint,0,1,0,0,false,2026-06-14,
Main,Pokemon,Paradox Rift,Garchomp ex,260/182,Hyper Rare,Holofoil,PSA 9.0 MINT,Near Mint,0,1,33.3,0,false,2025-09-04,
Main,Pokemon,Paradox Rift,Paradox Rift Booster Bundle,,,Normal,Ungraded,Near Mint,30.0000,2,79.35,0,false,2025-08-17,
Main,Pokemon,Paradox Rift,Paradox Rift Elite Trainer Box [Iron Valiant],,,Normal,Ungraded,Near Mint,65.0000,1,138.25,0,false,2025-07-07,
Main,Pokemon,Paradox Rift,Plusle,193/182,Illustration Rare,Holofoil,Ungraded,Near Mint,5.0000,1,52.14,0,false,2025-06-26,
Main,Pokemon,Perfect Order,Perfect Order Booster Bundle,,,Normal,Ungraded,Near Mint,0,2,41.95,0,false,2026-04-10,
Main,Pokemon,Perfect Order,Perfect Order Pokemon Center Elite Trainer Box,,,Normal,Ungraded,Near Mint,0,1,139.44,0,false,2026-03-28,
Main,Pokemon,Phantasmal Flames,Phantasmal Flames Booster Box,,,Normal,Ungraded,Near Mint,0,1,426.31,0,false,2026-01-04,
Main,Pokemon,Phantasmal Flames,Phantasmal Flames Booster Bundle,,,Normal,Ungraded,Near Mint,0,2,78.16,0,false,2026-01-04,
Main,Pokemon,Phantasmal Flames,Phantasmal Flames Booster Pack,,,Normal,Ungraded,Near Mint,0,5,10.15,0,false,2026-01-05,
Main,Pokemon,Phantasmal Flames,Phantasmal Flames Elite Trainer Box,,,Normal,Ungraded,Near Mint,0,1,148.71,0,false,2026-02-15,
Main,Pokemon,Phantasmal Flames,Phantasmal Flames Single Pack Blister [Cottonee],,,Normal,Ungraded,Near Mint,0,1,11.69,0,false,2026-01-04,
Main,Pokemon,Phantasmal Flames,Phantasmal Flames Sleeved Booster Pack,,,Normal,Ungraded,Near Mint,0,8,12.6,0,false,2026-01-04,
Main,Pokemon,Pokemon Go,Dragonite VSTAR (Secret),081/078,Secret Rare,Holofoil,Ungraded,Near Mint,0,1,49.95,0,false,2025-09-08,
Main,Pokemon,Prismatic Evolutions,Kieran,174/131,Special Illustration Rare,Holofoil,PSA 9.0 MINT,Near Mint,0,1,19.83,0,false,2025-09-04,
Main,Pokemon,Prismatic Evolutions,Prismatic Evolutions Booster Bundle,,,Normal,Ungraded,Near Mint,23.8824,17,102.51,0,false,2025-06-26,
Main,Pokemon,Prismatic Evolutions,Prismatic Evolutions Elite Trainer Box,,,Normal,Ungraded,Near Mint,60.0000,2,152.96,0,false,2025-06-26,
Main,Pokemon,Prismatic Evolutions,Prismatic Evolutions Poster Collection,,,Normal,Ungraded,Near Mint,0,5,42.23,0,false,2025-06-26,
Main,Pokemon,Prismatic Evolutions,Prismatic Evolutions Super Premium Collection,,,Normal,Ungraded,Near Mint,0,1,297.97,0,false,2026-03-29,
Main,Pokemon,Prismatic Evolutions,Prismatic Evolutions Surprise Box,,,Normal,Ungraded,Near Mint,25.0000,4,70.4,0,false,2025-06-27,
Main,Pokemon,Scarlet & Violet Base Set,Gardevoir ex,245/198,Special Illustration Rare,Holofoil,Ungraded,Near Mint,5.0000,1,88.77,0,false,2025-07-03,
Main,Pokemon,Scarlet & Violet Base Set,Scarlet & Violet Elite Trainer Box [Miraidon],,,Normal,Ungraded,Near Mint,80.0000,1,148.26,0,false,2025-08-28,
Main,Pokemon,Scarlet & Violet Promo,N's Zorua,189,Promo,Holofoil,PSA 9.0 MINT,Near Mint,0,1,23.39,0,false,2025-09-04,
Main,Pokemon,Scarlet & Violet Promo,Team Rocket's Wobbuffet,203,Promo,Holofoil,PSA 9.0 MINT,Near Mint,0,1,28.98,0,false,2025-09-04,
Main,Pokemon,Shrouded Fable,Shrouded Fable Elite Trainer Box,,,Normal,Ungraded,Near Mint,35.0000,1,131.21,0,false,2025-07-11,
Main,Pokemon,Silver Tempest,Fall 2022 Collector Chest,,,Normal,Ungraded,Near Mint,35.0000,1,62.35,0,false,2025-06-27,
Main,Pokemon,Silver Tempest,Silver Tempest Elite Trainer Box,,,Normal,Ungraded,Near Mint,50.0000,2,176.83,0,false,2025-07-26,
Main,Pokemon,Silver Tempest Trainer Gallery,Blaziken VMAX,TG15/TG30,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,149.03,0,false,2026-05-22,
Main,Pokemon,Stellar Crown,Archaludon,155/142,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,4.08,0,false,2025-06-26,
Main,Pokemon,Stellar Crown,Crabominable,149/142,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,3.26,0,false,2025-06-26,
Main,Pokemon,Stellar Crown,Crispin,164/142,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,13,0,false,2025-06-26,
Main,Pokemon,Stellar Crown,Dachsbun ex,160/142,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,4.12,0,false,2025-06-26,
Main,Pokemon,Stellar Crown,Hydrapple ex,167/142,Special Illustration Rare,Holofoil,PSA 9.0 MINT,Near Mint,0,1,35.36,0,false,2025-09-04,
Main,Pokemon,Stellar Crown,Lapras ex,158/142,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,7.44,0,false,2025-06-26,
Main,Pokemon,Stellar Crown,Meditite,153/142,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,7.94,0,false,2025-06-30,
Main,Pokemon,Stellar Crown,Raboot,147/142,Illustration Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,71.74,0,false,2025-09-04,
Main,Pokemon,Stellar Crown,Raboot,147/142,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,8.17,0,false,2025-06-28,
Main,Pokemon,Stellar Crown,Stellar Crown Booster Pack,,,Normal,Ungraded,Near Mint,4.0000,20,9.39,0,false,2025-07-13,
Main,Pokemon,Stellar Crown,Stellar Crown Elite Trainer Box,,,Normal,Ungraded,Near Mint,65.0000,2,156.59,0,false,2025-07-07,
Main,Pokemon,Stellar Crown,Stellar Crown Sleeved Booster Pack,,,Normal,Ungraded,Near Mint,0,6,8.9,0,false,2026-01-28,
Main,Pokemon,Stellar Miracle,Stellar Miracle Booster Pack,,,Normal,Ungraded,Near Mint,0,3,3.19,0,false,2025-08-18,
Main,Pokemon,Surging Sparks,Alolan Dugtrio,208/191,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,9.59,0,false,2025-07-21,
Main,Pokemon,Surging Sparks,Black Kyurem ex,218/191,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,2.63,0,false,2025-06-26,
Main,Pokemon,Surging Sparks,Ceruledge,197/191,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,25.87,0,false,2026-01-06,
Main,Pokemon,Surging Sparks,Exeggcute,192/191,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,7.37,0,false,2025-07-01,
